"","stop_name","Order","X","Y","Alt","season","route_id","direction_id","day_type_name","time_period_id","time_period_name","stop_id","on","off","slider_ref"
"121","Broadway",31,470,450,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-brdwy",54184,113919,6
"122","Andrew",32,470,490,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-andrw",38641,114197,6
"123","JFK/Umass",33,470,530,0,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-jfk",91894,138189,6
"124","Savin Hill",34,440,560,1,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-shmnl",4676,63138,6
"125","North Quincy",35,500,560,2,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-nqncy",19855,177107,6
"126","Fields Corner",36,440,590,1,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-fldcr",15305,106960,6
"127","Wollaston",37,520,580,2,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-wlsta",4779,115678,6
"128","Shawmut",38,440,620,1,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-smmnl",1925,75118,6
"129","Quincy Center",39,540,600,2,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-qnctr",7058,229866,6
"130","Ashmont",40,440,650,1,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-asmnl",0,220672,6
"131","Quincy Adams",41,560,620,2,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-qamnl",841,144985,6
"132","Braintree",42,560,640,2,"Fall 2019","Red",0,"weekday","time_period_06","PM_PEAK","place-brntn",0,145157,6
"133","Alewife",21,190,130,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-alfcl",58141,0,7
"134","Davis",22,220,160,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-davis",65174,8302,7
"135","Porter",23,250,190,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-portr",52291,8973,7
"136","Harvard",24,280,220,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-harsq",148541,28143,7
"137","Central",25,310,250,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-cntsq",97511,46836,7
"138","Kendall/MIT",26,340,280,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-knncl",116815,28006,7
"139","Charles/MGH",27,370,310,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-chmnl",74143,30335,7
"140","Park Street",28,400,340,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-pktrm",251472,144674,7
"141","Downtown Crossing",29,440,380,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-dwnxg",211556,123867,7
"142","South Station",30,470,410,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-sstat",154908,93704,7
"143","Broadway",31,470,450,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-brdwy",28769,62123,7
"144","Andrew",32,470,490,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-andrw",18057,70270,7
"145","JFK/Umass",33,470,530,0,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-jfk",55308,93942,7
"146","Savin Hill",34,440,560,1,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-shmnl",2784,42671,7
"147","North Quincy",35,500,560,2,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-nqncy",6189,91628,7
"148","Fields Corner",36,440,590,1,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-fldcr",6134,68546,7
"149","Wollaston",37,520,580,2,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-wlsta",2891,59767,7
"150","Shawmut",38,440,620,1,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-smmnl",1212,45323,7
"151","Quincy Center",39,540,600,2,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-qnctr",2397,100907,7
"152","Ashmont",40,440,650,1,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-asmnl",0,103165,7
"153","Quincy Adams",41,560,620,2,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-qamnl",561,61514,7
"154","Braintree",42,560,640,2,"Fall 2019","Red",0,"weekday","time_period_07","EVENING","place-brntn",0,42161,7
"155","Alewife",21,190,130,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-alfcl",9202,0,8
"156","Davis",22,220,160,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-davis",16661,1226,8
"157","Porter",23,250,190,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-portr",13569,1169,8
"158","Harvard",24,280,220,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-harsq",41924,4848,8
"159","Central",25,310,250,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-cntsq",28512,7839,8
"160","Kendall/MIT",26,340,280,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-knncl",22520,4825,8
"161","Charles/MGH",27,370,310,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-chmnl",20876,4777,8
"162","Park Street",28,400,340,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-pktrm",85566,46130,8
"163","Downtown Crossing",29,440,380,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-dwnxg",44470,30784,8
"164","South Station",30,470,410,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-sstat",34679,19308,8
"165","Broadway",31,470,450,0,"Fall 2019","Red",0,"weekday","time_period_08","LATE_EVENING","place-brdwy",6748,10516,8
