"","stop_name","route_id","Order","X","Y","season","direction_id","number_service_days","time_period_id","time_period_name","on","off","Alt","slider_ref","timeDisplay"
"184","Andrew","Red",32,470,490,"Fall 2019",1,77,"time_period_07","EVENING",20013,11973,0,7,"18:30 to 22:00"
"187","Andrew","Red",32,470,490,"Fall 2019",0,77,"time_period_03","AM_PEAK",17199,24009,0,3,"07:00 to 09:00"
"190","Andrew","Red",32,470,490,"Fall 2019",1,77,"time_period_09","NIGHT",587,366,0,9,"24:00 to +03:00"
"195","Andrew","Red",32,470,490,"Fall 2019",0,77,"time_period_02","EARLY_AM",6553,13627,0,2,"06:00 to 07:00"
"200","Andrew","Red",32,470,490,"Fall 2019",0,77,"time_period_08","LATE_EVENING",6109,17622,0,8,"22:00 to 24:00"
"201","Andrew","Red",32,470,490,"Fall 2019",0,77,"time_period_07","EVENING",18057,70270,0,7,"18:30 to 22:00"
"205","Andrew","Red",32,470,490,"Fall 2019",1,77,"time_period_06","PM_PEAK",42037,20536,0,6,"16:00 to 18:30"
"207","Andrew","Red",32,470,490,"Fall 2019",1,77,"time_period_03","AM_PEAK",102423,30032,0,3,"07:00 to 09:00"
"208","Andrew","Red",32,470,490,"Fall 2019",1,77,"time_period_08","LATE_EVENING",4360,3661,0,8,"22:00 to 24:00"
"212","Andrew","Red",32,470,490,"Fall 2019",0,77,"time_period_06","PM_PEAK",38641,114197,0,6,"16:00 to 18:30"
"215","Andrew","Red",32,470,490,"Fall 2019",0,77,"time_period_09","NIGHT",1080,2548,0,9,"24:00 to +03:00"
"217","Aquarium","Blue",51,480,340,"Fall 2019",0,77,"time_period_01","VERY_EARLY_MORNING",98,14693,0,1,"03:00 to 06:00"
"218","Aquarium","Blue",51,480,340,"Fall 2019",1,77,"time_period_03","AM_PEAK",5506,13750,0,3,"07:00 to 09:00"
"219","Aquarium","Blue",51,480,340,"Fall 2019",0,77,"time_period_09","NIGHT",514,373,0,9,"24:00 to +03:00"
"222","Aquarium","Blue",51,480,340,"Fall 2019",0,77,"time_period_03","AM_PEAK",6562,123599,0,3,"07:00 to 09:00"
"223","Aquarium","Blue",51,480,340,"Fall 2019",1,77,"time_period_05","MIDDAY_SCHOOL",50376,14118,0,5,"13:30 to 16:00"
"226","Aquarium","Blue",51,480,340,"Fall 2019",0,77,"time_period_07","EVENING",10512,9791,0,7,"18:30 to 22:00"
"228","Aquarium","Blue",51,480,340,"Fall 2019",0,77,"time_period_06","PM_PEAK",27398,26656,0,6,"16:00 to 18:30"
"238","Aquarium","Blue",51,480,340,"Fall 2019",0,77,"time_period_05","MIDDAY_SCHOOL",16687,39779,0,5,"13:30 to 16:00"
"239","Aquarium","Blue",51,480,340,"Fall 2019",0,77,"time_period_08","LATE_EVENING",3243,2834,0,8,"22:00 to 24:00"
"242","Aquarium","Blue",51,480,340,"Fall 2019",1,77,"time_period_07","EVENING",65194,5522,0,7,"18:30 to 22:00"
"245","Aquarium","Blue",51,480,340,"Fall 2019",1,77,"time_period_06","PM_PEAK",119552,17059,0,6,"16:00 to 18:30"
"248","Aquarium","Blue",51,480,340,"Fall 2019",1,77,"time_period_02","EARLY_AM",2709,1518,0,2,"06:00 to 07:00"
"256","Aquarium","Blue",51,480,340,"Fall 2019",0,77,"time_period_04","MIDDAY_BASE",12014,72747,0,4,"09:00 to 13:30"
"257","Aquarium","Blue",51,480,340,"Fall 2019",1,77,"time_period_09","NIGHT",7922,173,0,9,"24:00 to +03:00"
"258","Aquarium","Blue",51,480,340,"Fall 2019",0,77,"time_period_02","EARLY_AM",1384,25000,0,2,"06:00 to 07:00"
"260","Aquarium","Blue",51,480,340,"Fall 2019",1,77,"time_period_01","VERY_EARLY_MORNING",686,264,0,1,"03:00 to 06:00"
"264","Aquarium","Blue",51,480,340,"Fall 2019",1,77,"time_period_08","LATE_EVENING",37626,1593,0,8,"22:00 to 24:00"
"268","Aquarium","Blue",51,480,340,"Fall 2019",1,77,"time_period_04","MIDDAY_BASE",21941,15000,0,4,"09:00 to 13:30"
"272","Arlington","Green",62,360,380,"Fall 2019",1,77,"time_period_02","EARLY_AM",3617,6147,0,2,"06:00 to 07:00"
"279","Arlington","Green",62,360,380,"Fall 2019",0,77,"time_period_04","MIDDAY_BASE",37432,126438,0,4,"09:00 to 13:30"
"281","Arlington","Green",62,360,380,"Fall 2019",1,77,"time_period_08","LATE_EVENING",20534,4853,0,8,"22:00 to 24:00"
"283","Arlington","Green",62,360,380,"Fall 2019",1,77,"time_period_07","EVENING",84371,20849,0,7,"18:30 to 22:00"
"292","Arlington","Green",62,360,380,"Fall 2019",0,77,"time_period_09","NIGHT",925,704,0,9,"24:00 to +03:00"
"293","Arlington","Green",62,360,380,"Fall 2019",1,77,"time_period_03","AM_PEAK",21333,38325,0,3,"07:00 to 09:00"
"294","Arlington","Green",62,360,380,"Fall 2019",0,77,"time_period_08","LATE_EVENING",7460,8617,0,8,"22:00 to 24:00"
"296","Arlington","Green",62,360,380,"Fall 2019",0,77,"time_period_01","VERY_EARLY_MORNING",2675,8021,0,1,"03:00 to 06:00"
"297","Arlington","Green",62,360,380,"Fall 2019",0,77,"time_period_03","AM_PEAK",21995,173385,0,3,"07:00 to 09:00"
"298","Arlington","Green",62,360,380,"Fall 2019",1,77,"time_period_06","PM_PEAK",199669,31245,0,6,"16:00 to 18:30"
"300","Arlington","Green",62,360,380,"Fall 2019",0,77,"time_period_07","EVENING",33369,27154,0,7,"18:30 to 22:00"
"301","Arlington","Green",62,360,380,"Fall 2019",1,77,"time_period_09","NIGHT",3513,518,0,9,"24:00 to +03:00"
"304","Arlington","Green",62,360,380,"Fall 2019",1,77,"time_period_01","VERY_EARLY_MORNING",1108,1635,0,1,"03:00 to 06:00"
"305","Arlington","Green",62,360,380,"Fall 2019",0,77,"time_period_06","PM_PEAK",58915,63800,0,6,"16:00 to 18:30"
"309","Arlington","Green",62,360,380,"Fall 2019",1,77,"time_period_04","MIDDAY_BASE",60527,41100,0,4,"09:00 to 13:30"
"310","Arlington","Green",62,360,380,"Fall 2019",0,77,"time_period_02","EARLY_AM",4241,25824,0,2,"06:00 to 07:00"
"316","Arlington","Green",62,360,380,"Fall 2019",0,77,"time_period_05","MIDDAY_SCHOOL",32255,49456,0,5,"13:30 to 16:00"
